clade_name	NCBI_tax_id	JAS_1	JAS_10	JAS_2	JAS_3	JAS_4	JAS_5	JAS_6	JAS_7	JAS_8	JAS_9	KHG_1	KHG_10	KHG_11	KHG_12	KHG_2	KHG_3	KHG_4	KHG_5	KHG_6	KHG_7	KHG_8	KHG_9	LDK_1-2	LDK_2	LDK_3	LDK_4	LDK_5	LDK_6	LDK_7	LDK_8	LDK_9
s__Streptococcus_thermophilus	0	0.06376	0.01097	0.02865	0.0	0.03929	0.01322	0.04719	0.00695	0.24799	0.0	0.00161	0.00714	0.0	0.0	0.0	0.0	0.0	0.0	0.02444	0.0	0.00626	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09132
s__Mitsuokella_multacida	0	0.06212	0.0	0.08123	0.13646	0.04596	0.02672	2.43049	6.89033	0.0	0.0	0.00741	0.0	0.0	11.35415	1.33399	0.08627	1.85881	0.19172	0.00355	0.35081	0.0	0.09594	0.0	0.46073	0.0	0.0	0.0	0.0006	0.1703	0.0	0.0
s__Lactobacillus_delbrueckii	0	0.05863	0.00319	0.10277	0.0	0.06282	0.01154	0.18955	0.00929	0.03411	0.21445	0.0	0.0	0.0	0.0	0.08227	0.0	0.0961	0.0	0.0	0.0	0.0	0.10062	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22422
s__Escherichia_coli	0	0.05707	0.0	0.00229	0.03161	0.0353	0.00449	0.02403	0.37533	0.0	0.95253	15.48695	0.16194	0.01717	0.74811	0.01953	0.04332	0.48248	0.16108	0.61499	8.30542	0.00912	0.14804	0.29001	0.01986	0.0	4.7636	0.02563	0.06189	0.0	0.02852	0.02238
s__Eubacterium_eligens	0	0.05685	0.01492	0.12353	0.0071	0.17345	0.17314	0.59864	0.0	1.71028	0.03006	0.13776	0.17671	0.02084	0.04042	0.04726	0.04551	0.0459	0.02932	0.05077	0.13354	0.7887	0.0815	0.07009	0.00248	0.03295	0.24329	0.25434	0.22364	0.27681	0.0	0.05632
s__Intestinibacter_bartlettii	0	0.05541	0.0	0.0	0.0	0.00652	0.0	0.00435	0.0	0.0	0.0	0.0	0.00812	0.0	0.0	0.00443	0.0	0.0	0.0	0.01281	0.0	0.00165	0.0	0.0	0.0	0.0	0.0	0.00601	0.01668	0.0114	0.0	0.00245
s__Firmicutes_bacterium_CAG_238	0	0.04137	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02248	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13008	0.0	0.08052	0.00446	0.0	0.0	0.0	0.0	0.0	0.05202	0.0	0.0
s__Firmicutes_bacterium_CAG_83	0	0.03314	0.0	0.01269	0.00482	0.02667	0.04523	0.04017	0.18376	0.0709	0.04342	0.07167	0.46945	0.0	0.00341	0.0	0.0159	0.0	0.08047	0.32823	0.40633	0.0	0.21898	0.00414	0.14104	0.06282	0.00023	0.02729	0.03359	0.05354	0.06309	0.00847
s__Clostridium_sp_CAG_413	0	0.03287	0.0	0.15223	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Eubacterium_ramulus	0	0.03196	0.03423	0.1441	0.03065	0.0773	0.12416	0.08221	0.09226	0.16992	0.07323	0.07227	0.0	0.09543	0.03138	0.03564	0.02371	0.05512	0.0377	0.21605	0.00749	0.16602	0.05475	0.08119	0.01909	0.00193	0.04036	0.04216	0.01292	0.16316	0.03058	0.03712
